% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=409365, Wed Apr  3 21:45:53 2019
1 8 -0.11893941562916374 -0.017131302637095905 0.024438437164531094 0.13853420615814857 1 1 1 1 1
2 16 -0.16680543852371152 -0.001137192769161876 0.11147618931672869 0.16323738713842306 1 1 1 1 1
3 24 -0.1573659208790436 -0.030410464239619128 0.009574521753162589 0.24178798748701608 1 1 1 1 1
4 32 -0.14629498178483538 -0.014000469677119771 0.0058870624866245325 0.3506920176819169 1 1 1 1 1
5 40 -0.1707748938363723 -0.06992432800390466 0.06631242505471303 0.3803731600841435 1 1 1 1 1
6 48 -0.23066485326821543 -0.14308965833577023 0.005302249038981983 0.44684928692940673 1 1 1 1 1
7 56 -0.2616416287173879 -0.010807504175535011 0.0697797927635612 0.4438523940848153 1 1 1 1 1
8 64 -0.4182872123222717 -0.21253187096832668 0.03160450941453908 0.4472226217300094 1 1 1 1 1
9 72 -0.42296420378723637 -0.011567948080194243 0.07499043341905239 0.408015781752451 1 1 1 1 1
10 80 -0.3189211889618474 -0.2125345630636456 0.060642907991424785 0.47651598078412255 1 1 1 1 1
11 88 -0.3340457123738848 -0.1974591772195536 0.043498690575813376 0.5162956989735494 1 1 1 1 1
12 96 -0.3234853817195962 -0.14584544840172048 0.12544743214622528 0.5034303159400146 1 1 1 1 1
13 104 -0.2809625306145969 -0.13857164871496996 0.1426491176798149 0.5921454592933156 1 1 1 1 1
14 112 -0.32264827977710936 -0.005217460415735843 0.0868648087111257 0.6400491794717243 1 1 1 1 1
15 120 -0.2719155400768812 -0.05690079747046494 0.048455632717220726 0.6979762704656987 1 1 1 1 1
16 128 -0.2966363629952099 -0.044527759853779145 0.06908172523110948 0.7148824138046845 1 1 1 1 1
17 136 -0.3443175545274424 -0.11761252243797256 0.03908412760220145 0.7167097229301516 1 1 1 1 1
18 144 -0.4447320813049652 -0.004065718808234312 0.09179603589861578 0.7416057073353141 1 1 1 1 1
19 152 -0.47012136857552567 -0.01279145495424567 0.04320785414385192 0.7579425791842932 1 1 1 1 1
20 160 -0.4504224714357745 -0.07211036652036319 0.05312787079982138 0.7588892086943724 1 1 1 1 1
21 168 -0.45775079778673644 -0.06390863438569425 0.11585446041484443 0.7355814918808644 1 1 1 1 1
22 176 -0.4846469785334206 -0.09788901309813823 0.10804933903947822 0.7614306222150539 1 1 1 1 1
23 184 -0.4963769372359636 -0.0704887711211347 0.1366453332143023 0.7758767986523957 1 1 1 1 1
24 192 -0.46222059156498424 -0.08937739735208013 0.16000402431528196 0.753897218910889 1 1 1 1 1
25 200 -0.48676394467148776 -0.05298386645847073 0.042467943738484996 0.7952412186283165 1 1 1 1 1
26 208 -0.45648598712140104 -0.03086515603771919 0.1127436834301813 0.8249932586905065 1 1 1 1 1
27 216 -0.4534201467577272 -0.031192830491687494 0.22501211756758213 0.841467395103373 1 1 1 1 1
28 224 -0.4297337547026182 -0.07527845649673376 0.005855095638467167 0.8646319031235834 1 1 1 1 1
29 232 -0.3246886915515381 -0.02677280662770297 0.06110056355873413 0.8805635865588936 1 1 1 1 1
30 240 -0.3584130843803438 -0.07741169496001184 0.010355271750374432 0.8759000576097461 1 1 1 1 1
31 248 -0.3137928266467371 -0.11563251464226959 0.07567532380220356 0.8752379991519327 1 1 1 1 1
32 256 -0.16345672657482946 -0.006204549372062415 0.09849527535452264 0.8767640964390704 1 1 1 1 1
